223247,75355,223320,75429,-70
71032,602688,71114,602764,-70
71026,604101,71114,604184,-70
152773,223375,152846,223447,-70
150111,372629,150182,372700,-70
71036,238116,71114,238192,-70
150111,361441,150182,361515,-70
150745,361441,150816,361515,-70
396,372623,473,372700,-70
1820,205473,1911,205578,-70
151887,361441,151961,361515,-70
152775,361441,152846,361515,-70
143926,363299,144000,363370,-70
398,363296,473,363370,-70
152773,226048,152846,226120,-70
151887,226049,151961,226120,-70
402,361441,473,361515,-70
143926,223124,144000,223195,-70
402,149509,473,149583,-70
254084,434761,254170,434842,-70
143926,223376,144000,223447,-70
143926,226049,144000,226120,-70
254099,372629,254170,372700,-70
150111,223124,150182,223195,-70
254099,363299,254174,363375,-70
150111,223376,150182,223447,-70
150111,226049,150182,226120,-70
100399,128606,100490,128698,-70
150743,223123,150816,223195,-70
150743,223375,150816,223447,-70
150743,226048,150816,226120,-70
216599,205475,216687,205576,-70
151887,223124,151961,223195,-70
151887,223376,151961,223447,-70
152773,223123,152846,223195,-70
143926,372629,144000,372700,-70
158426,434769,158514,434851,-70
59264,597330,59344,597406,-70
18198,25920,18276,25997,-70
143926,608271,144000,608345,-70
18198,25690,18276,25768,-70
150745,662392,150831,662472,-70
150111,608271,150182,608345,-70
150745,608271,150816,608345,-70
151887,608271,151961,608345,-70
254099,226049,254170,226120,-70
254099,223376,254170,223447,-70
402,226049,473,226120,-70
402,223376,473,223447,-70
254099,223124,254170,223195,-70
210657,741670,210733,741752,-70
402,223124,473,223195,-70
254099,149509,254170,149583,-70
400,434769,473,434842,-70
152775,608271,152846,608345,-70
158428,608271,158499,608345,-70
100399,149509,100473,149583,-70
152775,434771,152846,434842,-70
150745,434771,150816,434842,-70
59264,597211,59348,597295,-70
150111,363086,150182,363164,-70
150111,363299,150182,363370,-70
150745,363086,150816,363164,-70
254097,363085,254170,363164,-70
150743,372628,150816,372700,-70
170860,746734,170941,746820,-70
150745,363299,150816,363370,-70
151887,372629,151961,372700,-70
151887,363086,151961,363164,-70
151887,363299,151965,363375,-70
152773,372628,152846,372700,-70
59264,91789,59344,91867,-70
254097,361440,254170,361515,-70
152775,363299,152846,363370,-70
143926,434771,144000,434842,-70
150111,434771,150182,434842,-70
151887,434771,151961,434842,-70
100399,223124,100473,223195,-70
158428,75355,158499,75429,-70
254099,128606,254170,128680,-70
484664,363299,484735,363370,-70
484664,363086,484735,363164,-70
223247,372629,223320,372700,-70
484664,361441,484740,361520,-70
223247,363299,223320,363370,-70
484664,226049,484735,226120,-70
484664,223376,484735,223447,-70
223247,361441,223320,361515,-70
484664,223124,484735,223195,-70
484664,149509,484735,149583,-70
158428,662392,158499,662466,-70
158428,223124,158499,223195,-70
18197,143316,18289,143405,-70
484664,128606,484735,128680,-70
100399,223376,100473,223447,-70
484664,372629,484735,372700,-70
121372,75355,121443,75429,-70
484664,434771,484735,434842,-70
484664,608271,484735,608345,-70
223247,608271,223320,608345,-70
121372,608271,121443,608345,-70
126066,602687,126147,602764,-70
121371,434769,121443,434842,-70
221346,662392,221432,662474,-70
121372,372629,121443,372700,-70
121372,361441,121443,361515,-70
223247,226049,223320,226120,-70
400,128604,473,128680,-70
121372,226049,121443,226120,-70
121372,223376,121443,223447,-70
158423,149503,158499,149583,-70
121372,223124,121443,223195,-70
121371,128604,121443,128680,-70
170865,118416,170945,118503,-70
836355,662392,836426,662466,-70
223247,434771,223320,434842,-70
223247,223376,223320,223447,-70
484664,75355,484735,75429,-70
223247,149509,223320,149583,-70
223247,223124,223320,223195,-70
143926,149509,144000,149583,-70
150745,149509,150816,149583,-70
100399,363086,100473,363164,-70
100399,363299,100473,363370,-70
100399,372629,100473,372700,-70
100399,361441,100473,361515,-70
836355,608271,836426,608345,-70
836353,363298,836426,363370,-70
836355,363086,836426,363164,-70
836355,361441,836429,361520,-70
46439,198618,46525,198710,-70
151887,149509,151961,149583,-70
152775,149509,152846,149583,-70
100399,226049,100473,226120,-70
151887,128606,151961,128680,-70
254099,608271,254170,608345,-70
176403,269252,176482,269331,-70
158428,363086,158499,363164,-70
158428,223376,158499,223447,-70
100399,608271,100473,608345,-70
26552,354483,26643,354580,-70
158428,226049,158499,226120,-70
254098,662390,254170,662466,-70
143926,75355,144000,75429,-70
150111,75355,150182,75429,-70
150745,75355,150816,75429,-70
158428,372629,158499,372700,-70
152775,75355,152846,75429,-70
100399,434771,100473,434842,-70
158426,128604,158499,128680,-70
223247,128606,223320,128680,-70
158428,361441,158499,361515,-70
176324,665314,176420,665411,-70
502199,16098,502269,16171,-69
502199,15901,502269,15971,-69
502196,15677,502269,15754,-69
502199,15467,502269,15537,-69
18199,16098,18271,16175,-69
31959,17531,32047,17623,-69
376062,595780,376137,595851,-69
18199,15901,18271,15975,-69
18199,15467,18271,15541,-69
29498,263129,29579,263210,-69
163026,15467,163099,15541,-69
163022,16095,163099,16175,-69
163026,15901,163099,15975,-69
34913,129271,35001,129361,-69
163022,15677,163099,15758,-69
23947,19178,24045,19271,-69
185140,525923,185226,526015,-69
100790,143315,100863,143386,-68
33590,520860,33664,520935,-68
163026,24004,163101,24084,-68
502199,145412,502274,145489,-68
100794,15901,100864,15972,-68
163022,25917,163100,25998,-68
67558,165668,67642,165750,-68
163386,24004,163456,24075,-68
84573,452520,84664,452612,-68
792612,24835,792687,24910,-68
163386,25692,163456,25763,-68
100794,16098,100864,16172,-68
378750,592104,378829,592188,-68
163383,16095,163461,16176,-68
100794,15681,100864,15755,-68
100778,15449,100864,15538,-68
10223,15677,10294,15751,-68
219636,205475,219724,205574,-67
15116,10832,15193,10910,-67
163016,16399,163103,16481,-67
502199,25922,502274,25997,-67
31609,17531,31709,17633,-67
163386,145412,163456,145484,-67
10219,25911,10294,25989,-67
14578,324476,14664,324564,-67
10219,25681,10294,25759,-67
46163,197843,46231,197911,-67
817652,24838,817724,24910,-67
163022,25687,163100,25769,-67
50497,201417,50591,201512,-67
40254,197686,40337,197770,-67
163022,145408,163096,145484,-67
163386,25922,163456,25992,-67
163386,15681,163461,15759,-67
116386,202659,116477,202750,-66
10227,24004,10294,24071,-66
10227,16098,10294,16168,-66
10227,15467,10294,15534,-66
10227,15901,10294,15968,-66
100794,25692,100863,25761,-66
100794,25922,100863,25991,-66
232674,10837,232747,10910,-66
